
                            < M A T L A B (R) >
                  Copyright 1984-2016 The MathWorks, Inc.
                   R2016b (9.1.0.441655) 64-bit (glnxa64)
                             September 7, 2016

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
>>     4.6000
Starting parallel pool (parpool) using the 'local' profile ... connected to 4 workers.
   -0.5150    1.1800    2.0000
   -0.5148    1.1805    2.0000
   -0.5146    1.1810    2.0000
   -0.5144    1.1815    2.0000
   -0.5142    1.1820    2.0000
   -0.5141    1.1825    2.0000
   -0.5139    1.1830    2.0000
   -0.5137    1.1835    2.0000
   -0.5136    1.1840    2.0000
   -0.5134    1.1845    2.0000
   -0.5133    1.1850    2.0000
   -0.5131    1.1855    2.0000
   -0.5130    1.1860    2.0000
   -0.5129    1.1865    2.0000
   -0.5128    1.1870    2.0000
   -0.5126    1.1875    2.0000
   -0.5125    1.1880    2.0000
   -0.5124    1.1885    2.0000
   -0.5123    1.1890    2.0000
   -0.5122    1.1895    2.0000
   -0.5121    1.1900    2.0000
   -0.5120    1.1905    2.0000
   -0.5119    1.1910    2.0000
   -0.5119    1.1915    2.0000
   -0.5118    1.1920    2.0000
   -0.5117    1.1925    2.0000
   -0.5117    1.1930    2.0000
   -0.5116    1.1935    2.0000
   -0.5115    1.1940    2.0000
   -0.5115    1.1945    2.0000
   -0.5115    1.1950    2.0000
   -0.5114    1.1955    2.0000
   -0.5114    1.1960    2.0000
   -0.5114    1.1965    2.0000
   -0.5113    1.1970    2.0000
   -0.5113    1.1975    2.0000
   -0.5113    1.1980    2.0000
   -0.5113    1.1985    2.0000
   -0.5113    1.1990    2.0000
   -0.5113    1.1995    2.0000
   -0.5113    1.2000    2.0000
   -0.5113    1.2005    2.0000
   -0.5114    1.2010    2.0000
   -0.5114    1.2015    2.0000
   -0.5114    1.2020    2.0000
   -0.5115    1.2025    2.0000
   -0.5115    1.2030    2.0000
   -0.5116    1.2035    2.0000
   -0.5116    1.2040    2.0000
   -0.5117    1.2045    2.0000
   -0.5118    1.2050    2.0000
   -0.5118    1.2055    2.0000
   -0.5119    1.2060    2.0000
   -0.5120    1.2065    2.0000
   -0.5121    1.2070    2.0000
   -0.5122    1.2075    2.0000
   -0.5123    1.2080    2.0000
   -0.5124    1.2085    2.0000
   -0.5125    1.2090    2.0000
   -0.5126    1.2095    2.0000
   -0.5127    1.2100    2.0000
    4.6005
   -0.5148    1.1800    2.0000
   -0.5146    1.1805    2.0000
   -0.5144    1.1810    2.0000
   -0.5142    1.1815    2.0000
   -0.5141    1.1820    2.0000
   -0.5139    1.1825    2.0000
   -0.5137    1.1830    2.0000
   -0.5136    1.1835    2.0000
   -0.5134    1.1840    2.0000
   -0.5133    1.1845    2.0000
   -0.5131    1.1850    2.0000
   -0.5130    1.1855    2.0000
   -0.5129    1.1860    2.0000
   -0.5128    1.1865    2.0000
   -0.5126    1.1870    2.0000
   -0.5125    1.1875    2.0000
   -0.5124    1.1880    2.0000
   -0.5123    1.1885    2.0000
   -0.5122    1.1890    2.0000
   -0.5121    1.1895    2.0000
   -0.5120    1.1900    2.0000
   -0.5119    1.1905    2.0000
   -0.5118    1.1910    2.0000
   -0.5118    1.1915    2.0000
   -0.5117    1.1920    2.0000
   -0.5116    1.1925    2.0000
   -0.5116    1.1930    2.0000
   -0.5115    1.1935    2.0000
   -0.5115    1.1940    2.0000
   -0.5114    1.1945    2.0000
   -0.5114    1.1950    2.0000
   -0.5114    1.1955    2.0000
   -0.5113    1.1960    2.0000
   -0.5113    1.1965    2.0000
   -0.5113    1.1970    2.0000
   -0.5113    1.1975    2.0000
   -0.5113    1.1980    2.0000
   -0.5113    1.1985    2.0000
   -0.5113    1.1990    2.0000
   -0.5113    1.1995    2.0000
   -0.5113    1.2000    2.0000
   -0.5113    1.2005    2.0000
   -0.5114    1.2010    2.0000
   -0.5114    1.2015    2.0000
   -0.5114    1.2020    2.0000
   -0.5115    1.2025    2.0000
   -0.5115    1.2030    2.0000
   -0.5116    1.2035    2.0000
   -0.5116    1.2040    2.0000
   -0.5117    1.2045    2.0000
   -0.5118    1.2050    2.0000
   -0.5119    1.2055    2.0000
   -0.5119    1.2060    2.0000
   -0.5120    1.2065    2.0000
   -0.5121    1.2070    2.0000
   -0.5122    1.2075    2.0000
   -0.5123    1.2080    2.0000
   -0.5124    1.2085    2.0000
   -0.5126    1.2090    2.0000
   -0.5127    1.2095    2.0000
   -0.5128    1.2100    2.0000
    4.6010
   -0.5146    1.1800    2.0000
   -0.5144    1.1805    2.0000
   -0.5142    1.1810    2.0000
   -0.5141    1.1815    2.0000
   -0.5139    1.1820    2.0000
   -0.5137    1.1825    2.0000
   -0.5136    1.1830    2.0000
   -0.5134    1.1835    2.0000
   -0.5133    1.1840    2.0000
   -0.5131    1.1845    2.0000
   -0.5130    1.1850    2.0000
   -0.5129    1.1855    2.0000
   -0.5127    1.1860    2.0000
   -0.5126    1.1865    2.0000
   -0.5125    1.1870    2.0000
